人民币,长江传媒,广电网络,中文传媒,时代出版,春兰股份,厦华电子,惠而浦,澳柯玛,均胜电子,曙光股份,易见股份,海正药业,中恒集团,复星医药,江苏吴中,大唐电信,大恒科技,信威集团,康欣新材
0.0,0.0,0.0,0.0,0.0,0.0,0.9997270703315735,3.2093914516093966e-24,0.0,0.00027286805561743677,4.796492630526439e-36,0.0,0.0,0.0,0.0,0.0,4.4685331302994287e-38,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5.258647775449555e-15,1.1964062553160293e-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.3574809964908177e-23,2.510123749743798e-06,0.0,0.9999974966049194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.866608197499512e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4742557796753015e-37,0.0,1.5193100683791316e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9092013740780885e-33,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7046733191787575e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.197049089013258e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8.733465318496745e-33,2.529651835225799e-11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.918188236506364e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999982118606567,0.0,1.7570221189089352e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
